weight,mpg
2.639,28
3.517,25
3.47,26
3.85,22
2.998,27
3.561,22
3.902,21
3.179,26
3.197,24
3.472,25
3.368,25
3.543,23
3.778,24
3.591,25
3.978,22
,22
3.843,22
3.77,22
5.572,15
2.676,27
3.051,25
3.33,25
3.34,27
3.5,25
3.21,22
2.398,33
1.895,45
3.389,27
2.967,24
3.332,24
3.452,26
2.911,27
3.564,23
,
3.567,23
2.567,29
2.879,24
3.058,24
3.489,
,16
4.47,17
4.245,15
4.298,16
3.557,19
4.394,17
,24
2.468,30
3.203,24
2.769,25
3.368,24
2.564,30
3.908,21
3.876,19
3.761,21
4.808,16
3.086,23
4.241,18
2.339,32
2.932,27
3.219,24
3.857,19
4.288,23
2.24,31
2.626,27
3.072,25
3.342,25
,21
3.045,17
3.194,20
3.88,19
3.373,23
,23
3.693,21
3.89,22
5.401,15
3.9,21
3.868,22
4.121,21
,15
2.25,30
2.91,24
2.945,25
3.443,22
3.131,21
4.52,18
3.51,20
2.769,28
2.892,30
3.379,24
3.958,21
3.876,18
3.944,21
3.25,26
3.823,25
4.133,21
4.125,20
3.055,26
2.975,27
3.213,26
4.115,20
4.387,20
2.593,30
3.012,25
,25
3.991,21
3.947,19
3.821,18
3.217,18
3.102,25
3.455,
2.958,27
3.967,22
4.068,19
3.948,22
2.559,29
2.942,27
3.528,24
2.85,21
2.906,27
3.091,25
3.492,25
3.396,25
3.59,24
,23
2.778,22
3.032,21
3.075,23
3.28,23
2.99,23
,33
2.367,33
2.452,31
3.075,27
2.91,28
3.415,25
3.125,24
2.42,33
2.998,27
3.417,26
2.425,31
2.58,23
3.759,22
2.668,27
3.44,23
5.115,15
,26
2.853,26
3.043,27
3.079,26
2.762,26
2.769,26
2.998,25
,25
3.208,25
3.259,25
3.601,23
3.6,24
